Draw,Date,Winning Number 1,2,3,4,5,6,Supplementary Number 1,2,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize
4383,2023-07-22,1,5,14,26,32,33,8,37,32,3,3,3,3,2,1,1,2,0,4,1311009.44,46,14104.20,947,1036.90,52702,27.60,139001,16.40,765305,9.05
4381,2023-07-15,18,25,31,32,37,39,12,34,37,1,5,4,2,0,1,1,4,0,2,2666110.76,54,12163.90,868,1145.35,48054,30.65,125289,18.40,695652,10.05
4379,2023-07-08,5,26,29,34,37,41,31,42,26,1,5,4,2,1,0,2,2,1,4,1350495.63,58,11480.75,965,1044.40,50248,29.75,124380,18.80,750041,9.45
4377,2023-07-01,6,7,19,21,26,38,13,36,21,4,2,3,3,2,1,2,1,0,8,1250000.00,100,9538.75,1694,852.25,91150,23.50,231353,14.50,1259183,8.05
4375,2023-06-24,4,8,21,29,30,37,38,45,8,3,3,3,3,2,0,3,1,0,15,2000000.00,125,13164.40,2783,894.90,143254,25.75,334821,17.25,2075499,8.45
4373,2023-06-17,8,24,27,36,39,41,22,26,,1,5,3,3,1,0,2,2,1,2,2537497.96,43,14562.65,992,955.40,48775,28.80,123618,17.80,709583,9.40
4371,2023-06-10,2,11,12,23,42,43,7,44,12,3,3,3,3,1,2,1,0,2,3,1692043.14,53,11824.75,1002,946.65,52766,26.65,146336,15.05,772044,8.65
4369,2023-06-03,1,12,24,26,37,41,25,45,37,2,4,3,3,1,1,2,1,1,8,648148.86,60,10669.05,1027,943.40,50186,28.60,124564,18.05,725878,9.40
4367,2023-05-27,7,8,22,28,34,37,1,23,8,3,3,2,4,2,0,2,2,0,1,5350426.43,47,14057.35,1225,816.30,61243,24.20,165314,14.05,853429,8.25
4365,2023-05-20,2,8,11,12,25,32,16,22,,4,2,2,4,2,2,1,1,0,8,1250000.00,100,8802.30,1886,706.40,92202,21.40,239884,12.90,1198189,7.80
