Draw,Date,Winning Number 1,2,3,4,5,6,7,Supplementary Number 1,2,3,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
1561,2024-01-16,4,9,17,24,29,37,47,14,20,27,,3,4,5,2,2,1,2,1,1,1,10000000.00,2,112486.70,56,4747.80,584,350.20,2793,58.60,72157,28.05,199905,16.25
1560,2024-01-09,5,6,21,22,25,38,42,16,36,44,21,4,3,3,4,2,0,3,1,1,0,0.00,2,81364.20,37,5197.70,345,428.80,2240,52.85,55481,26.40,141001,16.70
1559,2024-01-02,3,21,24,30,36,44,46,18,31,37,"24,44",2,5,2,5,1,0,3,1,2,0,0.00,0,0.00,29,11002.05,265,501.65,1619,65.70,43110,30.55,116007,18.20
1558,2023-12-26,17,22,24,28,31,42,44,3,16,39,,2,5,2,5,0,1,3,1,2,3,32629794.23,31,52070.45,428,4457.20,3760,390.30,22296,52.65,552886,26.30,1415829,16.50
1557,2023-12-19,12,18,25,37,40,43,47,28,30,32,47,2,5,4,3,0,2,1,2,2,0,0.00,12,90505.40,230,5580.55,2466,400.40,13621,58.00,347332,28.15,918413,17.10
1556,2023-12-12,6,19,30,39,42,44,47,8,33,46,19,2,5,3,4,1,1,1,1,3,0,0.00,7,91891.95,106,7171.65,1342,435.75,7548,62.00,199271,29.05,524728,17.70
1555,2023-12-05,3,11,17,19,32,36,41,6,22,34,19,4,3,5,2,1,3,0,2,1,0,0.00,8,63901.95,125,4833.30,1273,365.10,7205,51.60,178335,25.80,462667,15.95
1554,2023-11-28,6,19,22,24,33,34,43,10,25,38,,3,4,3,4,1,1,2,2,1,0,0.00,8,52581.60,118,4213.00,960,398.35,5901,51.85,144192,26.25,369403,16.45
1553,2023-11-21,8,12,14,21,25,36,41,19,22,23,12,4,3,3,4,1,2,2,1,1,0,0.00,3,105211.50,74,5040.85,735,390.40,4187,54.85,109193,26.00,293366,15.55
1552,2023-11-14,1,4,9,12,32,38,45,10,18,43,,4,3,3,4,3,1,0,2,1,0,0.00,7,40444.75,50,6691.75,636,404.70,3908,52.70,99812,25.55,254515,16.10
1551,2023-11-07,3,16,21,22,30,41,43,25,33,46,"3,21",4,3,4,3,1,1,3,0,2,0,0.00,4,57520.90,59,4608.75,533,392.45,2992,55.95,76177,27.20,187961,17.70
1550,2023-10-31,3,13,21,31,37,44,45,11,30,33,3,3,4,6,1,1,1,1,2,2,0,0.00,2,73748.40,63,2766.90,353,379.85,2257,47.55,53894,24.65,139127,15.30
1549,2023-10-24,3,5,25,30,39,40,47,19,33,44,39,2,5,5,2,2,0,2,2,1,0,0.00,4,33481.40,13,12175.05,235,518.10,1414,68.90,38239,31.50,108390,17.85
1548,2023-10-17,14,18,21,23,33,39,46,28,37,41,,4,3,4,3,0,2,2,2,1,1,30000000.00,12,34953.75,83,5972.40,908,419.95,5170,59.00,131706,28.65,347417,17.45
1547,2023-10-10,2,6,12,15,29,31,35,8,28,47,,4,3,4,3,2,2,1,2,0,0,0.00,5,66643.50,120,3281.70,879,344.60,5151,47.05,122227,24.55,299396,16.10
1546,2023-10-03,7,19,21,24,27,43,47,11,29,39,,3,4,6,1,1,1,3,0,2,0,0.00,4,56375.20,60,4441.70,531,386.05,3021,54.30,77894,26.05,209559,15.55
1545,2023-09-26,1,9,10,13,20,34,46,19,30,42,,5,2,3,4,3,2,0,1,1,0,0.00,2,96382.85,40,5695.35,366,478.80,2321,60.40,62327,27.85,168065,16.60
1544,2023-09-19,14,23,32,33,35,36,45,12,20,30,,2,5,4,3,0,1,1,4,1,0,0.00,2,73115.85,27,6400.70,317,419.35,1845,57.65,46991,28.00,124243,17.00
1543,2023-09-12,4,5,12,24,25,27,44,7,39,42,5,3,4,3,4,2,1,3,0,1,0,0.00,7,18863.85,46,3392.50,404,297.15,2173,44.20,52588,22.60,128580,14.85
1542,2023-09-05,2,5,13,18,21,31,41,9,40,46,,5,2,5,2,2,2,1,1,1,1,10000000.00,9,25849.75,70,3927.80,601,351.90,3721,45.45,88121,23.75,200737,16.75
1541,2023-08-29,14,17,19,22,27,46,47,29,30,40,,4,3,4,3,0,3,2,0,2,0,0.00,2,73787.75,23,7582.95,273,491.45,1562,68.70,43316,30.65,114617,18.60
1540,2023-08-22,10,12,33,36,37,40,42,5,27,28,,2,5,2,5,1,1,0,4,1,0,0.00,1,137813.65,20,8143.55,267,469.25,1592,62.95,43059,28.80,120693,16.50
1539,2023-08-15,6,8,23,24,27,41,47,4,13,28,47,3,4,4,3,2,0,3,0,2,1,30000000.00,7,66183.70,86,6366.50,949,443.80,5670,59.40,150077,27.80,412002,16.25
1538,2023-08-08,3,7,19,20,22,35,47,4,10,17,19,5,2,5,2,2,2,1,1,1,0,0.00,4,88438.00,79,5292.05,829,387.95,4843,53.10,124460,25.60,337461,15.15
1537,2023-08-01,11,13,17,19,34,36,40,12,14,35,,4,3,4,3,0,4,0,3,0,0,0.00,6,33603.35,49,4862.80,481,381.05,2876,51.00,71494,25.40,176310,16.55
1536,2023-07-25,1,10,14,32,39,43,44,8,23,47,,3,4,3,4,2,1,0,2,2,0,0.00,1,147571.00,26,6707.75,286,469.05,1633,65.70,43929,30.25,115109,18.55
1535,2023-07-18,7,11,17,20,22,24,41,6,33,47,,5,2,4,3,1,3,2,0,1,0,0.00,2,66566.40,38,4140.50,349,346.80,2282,42.45,55034,21.75,119700,16.10
1534,2023-07-11,4,9,26,28,35,42,46,21,40,47,,2,5,2,5,2,0,2,1,2,1,20000000.00,10,32402.75,81,4727.65,752,391.70,4098,57.50,103072,28.30,258399,18.15
1533,2023-07-04,3,12,20,21,29,36,40,1,5,6,,4,3,3,4,1,2,2,2,0,0,0.00,1,231090.05,60,4551.75,583,360.35,3264,51.50,81992,25.35,226515,14.75
1532,2023-06-27,5,16,31,37,39,43,47,14,30,40,5,2,5,6,1,1,1,0,3,2,0,0.00,6,27681.70,29,6768.55,304,496.70,1811,66.70,46333,32.25,120859,19.85
